Affable
Amiable
Amusing
Brave
Bright
Calm
Careful
Dynamic
Frank
Funny
Gentle
Good
Helpful
Honest
Kind
Loving
Loyal
Modest
Neat
Nice
Patient
Placid
Plucky
Polite
Quiet
Shy
Sincere
Tidy
Tough
Willing
Witty
