User,IMIInterest
ToughFox,37
LovingCoati,57
HonestLlama,33
CarefulDodo,43
SincereMouse,60
PlacidTetra,0
FrankTurkey,23
DynamicEmu,37
CalmMole,63
AmusingBombay,63
FunnySloth,80
WittyDrewer,53
FunnyServal,23
HonestDhole,27
LoyalMagpie,40
PatientWeasel,60
BrightFalcon,70
GentleTurkey,53
LoyalNumbat,83
CarefulBirman,50
ShyCoati,33
